rank;finalWorth;personName;age;country;city;source;industries;countryOfCitizenship;organization;selfMade;gender;lastName;firstName;title;birthYear;birthMonth;cpi_country;gdp_country_trillions;gross_tertiary_education_enrollment;gross_primary_education_enrollment_country;life_expectancy_country;tax_revenue_country_country;total_tax_rate_country;population_country;latitude_country;longitude_country
1067;2800;Nandan Nilekani;67;India;Bangalore;Software services;Technology;India;;TRUE;M;Nilekani;Nandan;;1955;6;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
1067;2800;Benjamin Otto;;Germany;Hamburg;Retail;Fashion & Retail;Germany;;FALSE;M;Otto;Benjamin;;;;112,85;3.845630031Trillions;70,2;104;80,9;11,5;48,8;83132799;51,165691;10,451526
1067;2800;Maren Otto;;Germany;Berlin;Retail, real estate;Diversified;Germany;;FALSE;F;Otto;Maren;;;;112,85;3.845630031Trillions;70,2;104;80,9;11,5;48,8;83132799;51,165691;10,451526
1067;2800;Ranjan Pai;50;India;Bangalore;Education;Service;India;;FALSE;M;Pai;Ranjan;;1972;11;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
1067;2800;Madhukar Parekh;76;India;Mumbai;Adhesives;Manufacturing;India;;FALSE;M;Parekh;Madhukar;;1947;1;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
1067;2800;Sean Parker;43;United States;Los Angeles;Facebook;Technology;United States;;TRUE;M;Parker;Sean;;1979;12;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1067;2800;Stewart Rahr;77;United States;New York;Drug distribution;Healthcare;United States;;FALSE;M;Rahr;Stewart;;1946;2;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1067;2800;Su Hua;41;China;Beijing;Video streaming;Media & Entertainment;China;;TRUE;M;Su;Hua;;1982;1;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
1067;2800;Sun Shoukuan;73;China;Yingkou;Metals, coal;Manufacturing;China;;TRUE;M;Sun;Shoukuan;;1949;10;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
1067;2800;Tseng Cheng;61;Taiwan;;Petrochemicals;Manufacturing;Taiwan;;FALSE;M;Tseng;Cheng;;1961;12;;;;;;;;;;
1067;2800;Tung Chee Hwa;85;Hong Kong;Hong Kong;Shipping;Logistics;Hong Kong;;FALSE;M;Tung;Chee Hwa;;1937;7;;;;;;;;;;
1067;2800;Meg Whitman;66;United States;Los Angeles;EBay;Technology;United States;Quibi;TRUE;F;Whitman;Meg;CEO;1956;8;117,24;21.427700000Trillions;88,2;101,8;78,5;9,6;36,6;328239523;37,09024;-95,712891
1067;2800;Wong Luen Hei;61;Hong Kong;Hong Kong;Building materials;Manufacturing;China;;TRUE;M;Wong;Luen Hei;;1962;1;;;;;;;;;;
1067;2800;Chenghai Ye & family;79;Hong Kong;Hong Kong;Pharmaceuticals;Healthcare;Hong Kong;;TRUE;M;Ye;Chenghai;;1943;8;;;;;;;;;;
1067;2800;Zhu Xingming;56;China;Shenzhen;Electrical equipment;Manufacturing;China;;TRUE;M;Zhu;Xingming;;1967;3;125,08;19.910000000Trillions;50,6;100,2;77;9,4;59,2;1397715000;35,86166;104,195397
1104;2700;Jose Joao Abdalla Filho;77;Brazil;Rio de Janeiro;Investments;Finance & Investments;Brazil;;FALSE;M;Abdalla Filho;Jose Joao;;1945;5;167,4;1.839758041Trillions;51,3;115,4;75,7;14,2;65,1;212559417;-14,235004;-51,92528
1104;2700;Juan Abello;81;Spain;Madrid;Investments;Finance & Investments;Spain;;FALSE;M;Abello;Juan;;1941;12;110,96;1.394116311Trillions;88,9;102,7;83,3;14,2;47;47076781;40,463667;-3,74922
1104;2700;Suhail Bahwan;84;Oman;Muscat;Diversified;Diversified;Oman;;TRUE;M;Bahwan;Suhail;;1939;1;113,53;.076983095Trillions;38;103,4;77,6;2,5;27,4;5266535;21,4735329;55,975413
1104;2700;Madhur Bajaj;70;India;Mumbai;Diversified;Diversified;India;;FALSE;M;Bajaj;Madhur;;1952;8;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
1104;2700;Niraj Bajaj;68;India;Mumbai;Diversified;Diversified;India;;FALSE;M;Bajaj;Niraj;;1954;10;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
1104;2700;Shekhar Bajaj;74;India;Mumbai;Diversified;Diversified;India;;FALSE;M;Bajaj;Shekhar;;1948;6;180,44;2.611000000Trillions;28,1;113;69,4;11,2;49,7;1366417754;20,593684;78,96288
1104;2700;Harindarpal Banga;72;Hong Kong;Hong Kong;Commodities;Finance & Investments;India;;TRUE;M;Banga;Harindarpal;;1950;8;;;;;;;;;;
1104;2700;Ulrike Baro;;Germany;Munich;Biopharmaceuticals;Healthcare;Germany;;FALSE;F;Baro;Ulrike;;;;112,85;3.845630031Trillions;70,2;104;80,9;11,5;48,8;83132799;51,165691;10,451526
1104;2700;Anne Beaufour;59;United Kingdom;;Pharmaceuticals;Healthcare;France;;FALSE;F;Beaufour;Anne;;1963;8;119,62;2.827113185Trillions;60;101,2;81,3;25,5;30,6;66834405;55,378051;-3,435973
